State,District,Market,Commodity,y,ds
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Garlic,4500.0,2025-11-07
Maharashtra,Pune,Khed APMC,Cabbage,1100.0,2025-11-07
Maharashtra,Sholapur,Akluj APMC,Green Chilli,4000.0,2025-11-07
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Potato,1850.0,2025-11-07
Maharashtra,Ahmednagar,Rahata APMC,Carrot,2500.0,2025-11-07
Maharashtra,Chattrapati Sambhajinagar,Vaijpur APMC,Onion,1250.0,2025-11-07
Maharashtra,Nagpur,Kalmeshwar APMC,Tomato,1820.0,2025-11-07
Maharashtra,Ahmednagar,Ahmednagar APMC,Tomato,1250.0,2025-11-07
Maharashtra,Pune,Pune(Manjri) APMC,Onion,800.0,2025-11-07
Maharashtra,Pune,Pune(Moshi) APMC,Green Chilli,3500.0,2025-11-07
Maharashtra,Pune,Pune(Moshi) APMC,Cabbage,900.0,2025-11-07
Maharashtra,Ahmednagar,Ahmednagar APMC,Potato,1600.0,2025-11-07
Maharashtra,Pune,Junnar(Narayangaon) APMC,Onion,1000.0,2025-11-07
Maharashtra,Pune,Pune(Moshi) APMC,Tomato,1350.0,2025-11-07
Maharashtra,Ahmednagar,Ahmednagar APMC,Garlic,5500.0,2025-11-07
Maharashtra,Nagpur,Hingna APMC,Green Chilli,2571.0,2025-11-07
Maharashtra,Thane,Kalyan APMC,Carrot,4000.0,2025-11-07
Maharashtra,Jalgaon,Jalgaon APMC,Carrot,2700.0,2025-11-07
Maharashtra,Nagpur,Kamthi APMC,Cabbage,1760.0,2025-11-07
Maharashtra,Nagpur,Kamthi APMC,Garlic,8540.0,2025-11-07
Maharashtra,Pune,Junnar(Narayangaon) APMC,Green Chilli,3000.0,2025-11-07
Maharashtra,Nashik,Nampur APMC,Onion,1600.0,2025-11-07
Maharashtra,Sholapur,Pandharpur APMC,Tomato,1000.0,2025-11-07
Maharashtra,Pune,Khed(Chakan) APMC,Potato,1500.0,2025-11-07
Maharashtra,Ahmednagar,Ahmednagar APMC,Carrot,2500.0,2025-11-07
Maharashtra,Nashik,Nasik APMC,Potato,1750.0,2025-11-07
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Carrot,3750.0,2025-11-07
Maharashtra,Jalgaon,Bhusaval APMC,Garlic,5000.0,2025-11-07
Maharashtra,Jalgaon,Jalgaon APMC,Garlic,4000.0,2025-11-07
Maharashtra,Sholapur,Akluj APMC,Potato,2100.0,2025-11-07
Maharashtra,Satara,Vai APMC,Cabbage,1350.0,2025-11-07
Maharashtra,Nashik,Manmad APMC,Onion,1500.0,2025-11-07
Maharashtra,Sangli,Islampur APMC,Potato,2000.0,2025-11-07
Maharashtra,Nashik,Nasik APMC,Green Chilli,3000.0,2025-11-07
Maharashtra,Nashik,Nasik APMC,Tomato,1100.0,2025-11-07
Maharashtra,Nashik,Umrane APMC,Onion,1500.0,2025-11-07
Maharashtra,Jalgaon,Bhusaval APMC,Cabbage,1200.0,2025-11-07
Maharashtra,Sholapur,Akluj APMC,Cabbage,1500.0,2025-11-07
Maharashtra,Sangli,Islampur APMC,Tomato,1450.0,2025-11-07
Maharashtra,Pune,Pune APMC,Onion,1100.0,2025-11-07
Maharashtra,Ahmednagar,Rahata APMC,Garlic,5000.0,2025-11-07
Maharashtra,Pune,Junnar(Otur) APMC,Green Chilli,3000.0,2025-11-07
Maharashtra,Pune,Junnar(Narayangaon) APMC,Tomato,2000.0,2025-11-07
Maharashtra,Nagpur,Kamthi APMC,Potato,2280.0,2025-11-07
Maharashtra,Nagpur,Hingna APMC,Garlic,7200.0,2025-11-07
Maharashtra,Pune,Khed(Chakan) APMC,Carrot,3500.0,2025-11-07
Maharashtra,Sangli,"Sangli(Phale, Bhajipura Market) APMC",Onion,1050.0,2025-11-07
Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Onion,2000.0,2025-11-07
Maharashtra,Dharashiv(Usmanabad),Paranda APMC,Onion,1250.0,2025-11-07
Maharashtra,Ahmednagar,Rahuri APMC,Tomato,1000.0,2025-11-07
Maharashtra,Sholapur,Solapur APMC,Cabbage,1000.0,2025-11-07
Maharashtra,Mumbai,Vashi New Mumbai APMC,Potato,1500.0,2025-11-07
Maharashtra,Sholapur,Solapur APMC,Green Chilli,2500.0,2025-11-07
Maharashtra,Nagpur,Kamthi APMC,Onion,1770.0,2025-11-07
Maharashtra,Ratnagiri,Ratnagiri (Nachane) APMC,Green Chilli,3000.0,2025-11-07
Maharashtra,Nashik,Lasalgaon(Niphad) APMC,Onion,1630.0,2025-11-07
Maharashtra,Nashik,Nasik APMC,Carrot,2700.0,2025-11-07
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Tomato,1750.0,2025-11-07
Maharashtra,Nagpur,Kamthi APMC,Green Chilli,1770.0,2025-11-07
Maharashtra,Sangli,Islampur APMC,Cabbage,1250.0,2025-11-07
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Onion,1075.0,2025-11-07
Maharashtra,Ahmednagar,Kopargaon APMC,Onion,1225.0,2025-11-07
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,Green Chilli,4350.0,2025-11-07
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Tomato,1250.0,2025-11-07
Maharashtra,Pune,Khed(Chakan) APMC,Tomato,2000.0,2025-11-07
Maharashtra,Thane,Kalyan APMC,Garlic,7000.0,2025-11-07
Maharashtra,Nagpur,Hingna APMC,Potato,1450.0,2025-11-07
Maharashtra,Pune,Junnar(Otur) APMC,Cabbage,1100.0,2025-11-07
Maharashtra,Sholapur,Mangal Wedha APMC,Tomato,2200.0,2025-11-07
Maharashtra,Jalgaon,Bhusaval APMC,Onion,1000.0,2025-11-07
Maharashtra,Kolhapur,Kolhapur APMC,Onion,1000.0,2025-11-07
Maharashtra,Ahmednagar,Shrirampur APMC,Cabbage,850.0,2025-11-07
Maharashtra,Ahmednagar,Rahata APMC,Tomato,1000.0,2025-11-07
Maharashtra,Nashik,Chandvad APMC,Onion,1570.0,2025-11-07
Maharashtra,Sholapur,Solapur APMC,Carrot,2500.0,2025-11-07
Maharashtra,Pune,Junnar(Narayangaon) APMC,Potato,1500.0,2025-11-07
Maharashtra,Sholapur,Mangal Wedha APMC,Green Chilli,2000.0,2025-11-07
Maharashtra,Sholapur,Solapur APMC,Onion,1500.0,2025-11-07
Maharashtra,Ahmednagar,Shrirampur APMC,Tomato,1350.0,2025-11-07
Maharashtra,Nashik,Yeola APMC,Onion,1000.0,2025-11-07
Maharashtra,Sangli,"Sangli(Phale, Bhajipura Market) APMC",Potato,1800.0,2025-11-07
Maharashtra,Ahmednagar,Sangamner APMC,Onion,1005.0,2025-11-07
Maharashtra,Pune,Pune APMC,Green Chilli,3000.0,2025-11-07
Maharashtra,Sangli,Islampur APMC,Green Chilli,2550.0,2025-11-07
Maharashtra,Ahmednagar,Sangamner APMC,Onion,1025.0,2025-11-07
Maharashtra,Nashik,Nasik APMC,Onion,1300.0,2025-11-07
Maharashtra,Thane,Kalyan APMC,Onion,3750.0,2025-11-07
Maharashtra,Ahmednagar,Ahmednagar APMC,Green Chilli,3000.0,2025-11-07
Maharashtra,Thane,Kalyan APMC,Onion,2250.0,2025-11-07
