,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,600.00",950.00,Rs./Quintal,74.90,Metric Tonnes,31-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,800.00,"2,300.00","1,550.00",Rs./Quintal,46.70,Metric Tonnes,30-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,900.00,"2,200.00","1,550.00",Rs./Quintal,25.70,Metric Tonnes,29-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,000.00","2,300.00","1,650.00",Rs./Quintal,35.90,Metric Tonnes,29-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,900.00,"2,100.00","1,500.00",Rs./Quintal,49.50,Metric Tonnes,28-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,800.00,"2,000.00","1,400.00",Rs./Quintal,48.10,Metric Tonnes,26-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,000.00","2,200.00","1,600.00",Rs./Quintal,49.20,Metric Tonnes,24-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,000.00","2,200.00","1,600.00",Rs./Quintal,33.10,Metric Tonnes,21-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,400.00,"1,600.00","1,000.00",Rs./Quintal,51.20,Metric Tonnes,20-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,600.00,"2,200.00","1,400.00",Rs./Quintal,49.30,Metric Tonnes,19-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,900.00","1,100.00",Rs./Quintal,75.70,Metric Tonnes,19-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,000.00","2,200.00","1,600.00",Rs./Quintal,50.30,Metric Tonnes,18-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,900.00,"2,200.00","1,550.00",Rs./Quintal,25.30,Metric Tonnes,17-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,700.00","1,000.00",Rs./Quintal,67.90,Metric Tonnes,17-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,100.00","2,400.00","1,750.00",Rs./Quintal,59.30,Metric Tonnes,16-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,400.00,"1,600.00","1,000.00",Rs./Quintal,81.50,Metric Tonnes,16-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,500.00",900.00,Rs./Quintal,65.50,Metric Tonnes,14-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,000.00","2,400.00","1,700.00",Rs./Quintal,46.70,Metric Tonnes,13-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,500.00,"1,600.00","1,050.00",Rs./Quintal,53.20,Metric Tonnes,13-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,600.00",950.00,Rs./Quintal,99.20,Metric Tonnes,12-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,500.00,"1,800.00","1,150.00",Rs./Quintal,39.80,Metric Tonnes,10-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,500.00,"1,600.00","1,050.00",Rs./Quintal,37.10,Metric Tonnes,09-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,69.20,Metric Tonnes,08-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,"1,000.00","2,200.00","1,600.00",Rs./Quintal,72.70,Metric Tonnes,07-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"1,500.00",900.00,Rs./Quintal,48.10,Metric Tonnes,07-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,600.00,"2,400.00","1,500.00",Rs./Quintal,27.20,Metric Tonnes,06-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Potato,Other,Local,300.00,"2,300.00","1,600.00",Rs./Quintal,65.70,Metric Tonnes,06-01-2026
