,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,150.00,"1,400.00",800.00,Rs./Quintal,"8,819.90",Metric Tonnes,31-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,900.00","1,050.00",Rs./Quintal,"3,708.60",Metric Tonnes,29-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,100.00,"1,100.00",600.00,Rs./Quintal,73.10,Metric Tonnes,29-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,800.00","1,000.00",Rs./Quintal,"3,863.40",Metric Tonnes,27-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,150.00,"1,000.00",600.00,Rs./Quintal,53.90,Metric Tonnes,27-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,600.00",900.00,Rs./Quintal,"6,108.20",Metric Tonnes,26-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,600.00",900.00,Rs./Quintal,"1,474.20",Metric Tonnes,25-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"2,000.00","1,050.00",Rs./Quintal,"4,657.60",Metric Tonnes,25-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,800.00","1,100.00",Rs./Quintal,"3,992.40",Metric Tonnes,24-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,150.00,"1,100.00",750.00,Rs./Quintal,58.90,Metric Tonnes,24-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"2,000.00",950.00,Rs./Quintal,"1,842.50",Metric Tonnes,22-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"2,200.00","1,100.00",Rs./Quintal,"5,434.30",Metric Tonnes,22-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,800.00","1,050.00",Rs./Quintal,"4,071.50",Metric Tonnes,22-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,150.00,"1,000.00",650.00,Rs./Quintal,49.20,Metric Tonnes,22-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,300.00",750.00,Rs./Quintal,"5,115.10",Metric Tonnes,21-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,250.00,"1,800.00","1,050.00",Rs./Quintal,"4,818.40",Metric Tonnes,20-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,150.00,"1,100.00",700.00,Rs./Quintal,75.60,Metric Tonnes,20-11-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,300.00",700.00,Rs./Quintal,"6,852.10",Metric Tonnes,19-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"2,400.00","1,300.00",Rs./Quintal,"3,583.40",Metric Tonnes,18-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"2,500.00","1,350.00",Rs./Quintal,"4,924.00",Metric Tonnes,18-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,350.00",700.00,Rs./Quintal,"6,460.80",Metric Tonnes,16-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,300.00,"2,800.00","1,750.00",Rs./Quintal,"3,493.70",Metric Tonnes,15-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,300.00,"3,000.00","1,950.00",Rs./Quintal,"3,432.00",Metric Tonnes,15-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,400.00",750.00,Rs./Quintal,"5,892.60",Metric Tonnes,14-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,300.00,"2,600.00","1,500.00",Rs./Quintal,"3,017.50",Metric Tonnes,13-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"3,100.00","1,900.00",Rs./Quintal,"1,850.00",Metric Tonnes,13-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,600.00",850.00,Rs./Quintal,"3,123.40",Metric Tonnes,12-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,500.00,"2,800.00","1,750.00",Rs./Quintal,"3,235.00",Metric Tonnes,11-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,800.00","1,050.00",Rs./Quintal,"9,343.30",Metric Tonnes,09-02-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,300.00,"2,100.00","1,500.00",Rs./Quintal,"3,519.50",Metric Tonnes,08-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,800.00",950.00,Rs./Quintal,"3,071.80",Metric Tonnes,06-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,150.00,"1,800.00","1,000.00",Rs./Quintal,118.40,Metric Tonnes,06-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,600.00",850.00,Rs./Quintal,211.10,Metric Tonnes,05-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"2,000.00","1,000.00",Rs./Quintal,"10,789.70",Metric Tonnes,05-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,700.00",950.00,Rs./Quintal,"4,065.50",Metric Tonnes,04-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"1,800.00","1,000.00",Rs./Quintal,124.90,Metric Tonnes,04-12-2025
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Other,Local,200.00,"1,600.00",850.00,Rs./Quintal,433.50,Metric Tonnes,01-01-2026
Maharashtra,Ahmednagar,Ahmednagar APMC,Vegetables,Onion,Red,Local,200.00,"2,300.00","1,200.00",Rs./Quintal,"9,047.80",Metric Tonnes,01-01-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,150.00,"1,461.00","1,051.00",Rs./Quintal,283.00,Metric Tonnes,24-02-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,200.00,"1,551.00","1,100.00",Rs./Quintal,264.10,Metric Tonnes,22-02-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,200.00,"1,551.00","1,151.00",Rs./Quintal,238.70,Metric Tonnes,19-02-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,251.00,"1,500.00","1,100.00",Rs./Quintal,125.50,Metric Tonnes,17-02-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,200.00,"1,475.00","1,151.00",Rs./Quintal,106.80,Metric Tonnes,12-02-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,250.00,"1,700.00","1,300.00",Rs./Quintal,81.40,Metric Tonnes,09-11-2025
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,300.00,"1,611.00","1,100.00",Rs./Quintal,94.00,Metric Tonnes,07-12-2025
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,200.00,"1,600.00","1,000.00",Rs./Quintal,103.00,Metric Tonnes,04-12-2025
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,150.00,"1,251.00",700.00,Rs./Quintal,50.00,Metric Tonnes,03-02-2026
Maharashtra,Ahmednagar,Akole APMC,Vegetables,Onion,Other,Local,100.00,"1,425.00",762.00,Rs./Quintal,37.50,Metric Tonnes,01-02-2026
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,800.00",950.00,Rs./Quintal,51.10,Metric Tonnes,29-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Red,Local,200.00,"1,600.00",900.00,Rs./Quintal,305.00,Metric Tonnes,29-01-2026
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,300.00",700.00,Rs./Quintal,16.10,Metric Tonnes,27-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,500.00",800.00,Rs./Quintal,26.50,Metric Tonnes,25-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,200.00",650.00,Rs./Quintal,477.30,Metric Tonnes,24-02-2026
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,500.00",800.00,Rs./Quintal,38.60,Metric Tonnes,22-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,800.00",950.00,Rs./Quintal,499.10,Metric Tonnes,22-01-2026
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,800.00",950.00,Rs./Quintal,25.00,Metric Tonnes,20-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,600.00",850.00,Rs./Quintal,20.30,Metric Tonnes,18-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,150.00,"1,800.00",975.00,Rs./Quintal,414.80,Metric Tonnes,17-01-2026
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,500.00",800.00,Rs./Quintal,29.10,Metric Tonnes,15-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,600.00",850.00,Rs./Quintal,17.10,Metric Tonnes,13-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"4,000.00","2,050.00",Rs./Quintal,40.30,Metric Tonnes,11-12-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,500.00",800.00,Rs./Quintal,46.80,Metric Tonnes,11-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,500.00",800.00,Rs./Quintal,57.10,Metric Tonnes,08-11-2025
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Red,Local,100.00,"1,500.00",800.00,Rs./Quintal,267.50,Metric Tonnes,05-02-2026
Maharashtra,Ahmednagar,Jamkhed APMC,Vegetables,Onion,Local,Local,100.00,"1,600.00",850.00,Rs./Quintal,65.30,Metric Tonnes,04-12-2025
